Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rstn,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_heartbeat[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_refcount[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reservation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_inflight[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_fill_pending[3:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_exp_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_slot[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_phys[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_req,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_grant,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_refused,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_stale,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_payload_mm,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_evictable,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_outstanding[1:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_ar_wait[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency_max[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_sticky[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
43,43,0,1,1113,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
44,44,0,1,1114,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
45,45,0,1,1115,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
46,46,0,1,1116,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
47,47,0,1,1117,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
48,48,0,1,1118,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
49,49,0,1,1119,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
50,50,0,1,111a,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
51,51,0,1,111b,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
52,52,0,1,111c,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
53,53,0,1,111d,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
54,54,0,1,111e,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
55,55,0,1,111f,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
56,56,0,1,1120,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
57,57,0,1,1121,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
58,58,0,1,1122,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
59,59,0,1,1123,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
60,60,0,1,1124,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
61,61,0,1,1125,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
62,62,0,1,1126,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
63,63,0,1,1127,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
64,64,0,1,1128,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
65,65,0,1,1129,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
66,66,0,1,112a,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
67,67,0,1,112b,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
68,68,0,1,112c,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
69,69,0,1,112d,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
70,70,0,1,112e,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
71,71,0,1,112f,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
72,72,0,1,1130,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
73,73,0,1,1131,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
74,74,0,1,1132,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
75,75,0,1,1133,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
76,76,0,1,1134,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
77,77,0,1,1135,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
78,78,0,1,1136,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
79,79,0,1,1137,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
80,80,0,1,1138,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
81,81,0,1,1139,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
82,82,0,1,113a,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
83,83,0,1,113b,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
84,84,0,1,113c,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
85,85,0,1,113d,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
86,86,0,1,113e,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
87,87,0,1,113f,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
88,88,0,1,1140,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
89,89,0,1,1141,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
90,90,0,1,1142,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
91,91,0,1,1143,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
92,92,0,1,1144,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
93,93,0,1,1145,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
94,94,0,1,1146,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
95,95,0,1,1147,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
96,96,0,1,1148,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
97,97,0,1,1149,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
98,98,0,1,114a,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
99,99,0,1,114b,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
100,100,0,1,114c,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
101,101,0,1,114d,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
