Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_probe[195:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
129,129,0,1000000000000000000000000000001002809140000010000
130,130,0,1000000000000000000000000000001002809140000010000
131,131,0,1000000000000000000000000000001002809140000010000
132,132,0,1000000000000000000000000000001002809140000010000
133,133,0,1000000000000000000000000000001002809140000010000
134,134,0,1000000000000000000000000000001002809140000010000
135,135,0,1000000000000000000000000000001002809140000010000
136,136,0,1000000000000000000000000000001002809140000010000
137,137,0,1000000000000000000000000000001002809140000010000
138,138,0,1000000000000000000000000000001002809140000010000
139,139,0,1000000000000000000000000000001002809140000010000
140,140,0,1000000000000000000000000000001002809140000010000
141,141,0,1000000000000000000000000000001002809140000010000
142,142,0,1000000000000000000000000000001002809140000010000
143,143,0,1000000000000000000000000000001002809140000010000
144,144,0,1000000000000000000000000000001002809140000010000
145,145,0,1000000000000000000000000000001002809140000010000
146,146,0,1000000000000000000000000000001002809140000010000
147,147,0,1000000000000000000000000000001002809140000010000
148,148,0,1000000000000000000000000000001002809140000010000
149,149,0,1000000000000000000000000000001002809140000010000
150,150,0,1000000000000000000000000000001002809140000010000
151,151,0,1000000000000000000000000000001002809140000010000
152,152,0,1000000000000000000000000000001002809140000010000
153,153,0,1000000000000000000000000000001002809140000010000
154,154,0,1000000000000000000000000000001002809140000010000
155,155,0,1000000000000000000000000000001002809140000010000
156,156,0,1000000000000000000000000000001002809140000010000
157,157,0,1000000000000000000000000000001002809140000010000
158,158,0,1000000000000000000000000000001002809140000010000
159,159,0,1000000000000000000000000000001002809140000010000
160,160,0,1000000000000000000000000000001002809140000010000
161,161,0,1000000000000000000000000000001002809140000010000
162,162,0,1000000000000000000000000000001002809140000010000
163,163,0,1000000000000000000000000000001002809140000010000
164,164,0,1000000000000000000000000000001002809140000010000
165,165,0,1000000000000000000000000000001002809140000010000
166,166,0,1000000000000000000000000000001002809140000010000
167,167,0,1000000000000000000000000000001002809140000010000
168,168,0,1000000000000000000000000000001002809140000010000
169,169,0,1000000000000000000000000000001002809140000010000
170,170,0,1000000000000000000000000000001002809140000010000
171,171,0,1000000000000000000000000000001002809140000010000
172,172,0,1000000000000000000000000000001002809140000010000
173,173,0,1000000000000000000000000000001002809140000010000
174,174,0,1000000000000000000000000000001002809140000010000
175,175,0,1000000000000000000000000000001002809140000010000
176,176,0,1000000000000000000000000000001002809140000010000
177,177,0,1000000000000000000000000000001002809140000010000
178,178,0,1000000000000000000000000000001002809140000010000
179,179,0,1000000000000000000000000000001002809140000010000
180,180,0,1000000000000000000000000000001002809140000010000
181,181,0,1000000000000000000000000000001002809140000010000
182,182,0,1000000000000000000000000000001002809140000010000
183,183,0,1000000000000000000000000000001002809140000010000
184,184,0,1000000000000000000000000000001002809140000010000
185,185,0,1000000000000000000000000000001002809140000010000
186,186,0,1000000000000000000000000000001002809140000010000
187,187,0,1000000000000000000000000000001002809140000010000
188,188,0,1000000000000000000000000000001002809140000010000
189,189,0,1000000000000000000000000000001002809140000010000
190,190,0,1000000000000000000000000000001002809140000010000
191,191,0,1000000000000000000000000000001002809140000010000
192,192,0,1000000000000000000000000000001002809140000010000
193,193,0,1000000000000000000000000000001002809140000010000
194,194,0,1000000000000000000000000000001002809140000010000
195,195,0,1000000000000000000000000000001002809140000010000
196,196,0,1000000000000000000000000000001002809140000010000
197,197,0,1000000000000000000000000000001002809140000010000
198,198,0,1000000000000000000000000000001002809140000010000
199,199,0,1000000000000000000000000000001002809140000010000
200,200,0,1000000000000000000000000000001002809140000010000
201,201,0,1000000000000000000000000000001002809140000010000
202,202,0,1000000000000000000000000000001002809140000010000
203,203,0,1000000000000000000000000000001002809140000010000
204,204,0,1000000000000000000000000000001002809140000010000
205,205,0,1000000000000000000000000000001002809140000010000
206,206,0,1000000000000000000000000000001002809140000010000
207,207,0,1000000000000000000000000000001002809140000010000
